line,round,phase,log
1081,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
1085,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
1089,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
1093,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
1097,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
1101,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
1105,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
1109,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
1113,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
1117,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
1121,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
1125,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
1129,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
1133,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
1137,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
1141,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
1145,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
1149,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
1153,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
1157,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
1161,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
1165,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
1169,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
